STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",3/23/2020,0,77,59
USW00023183,"PHOENIX AIRPORT, AZ US",3/24/2020,0,77,55
USW00023183,"PHOENIX AIRPORT, AZ US",3/25/2020,0,77,55
USW00023183,"PHOENIX AIRPORT, AZ US",3/26/2020,0,70,59
USW00023183,"PHOENIX AIRPORT, AZ US",3/27/2020,0,66,52
USW00023183,"PHOENIX AIRPORT, AZ US",3/28/2020,0,71,47
USW00023183,"PHOENIX AIRPORT, AZ US",3/29/2020,0,77,53
USW00023183,"PHOENIX AIRPORT, AZ US",3/30/2020,0,77,53
USW00023183,"PHOENIX AIRPORT, AZ US",3/31/2020,0,79,55
USW00023183,"PHOENIX AIRPORT, AZ US",4/1/2020,0,85,60
USW00023183,"PHOENIX AIRPORT, AZ US",4/2/2020,0,85,57
USW00023183,"PHOENIX AIRPORT, AZ US",4/3/2020,0,84,57
USW00023183,"PHOENIX AIRPORT, AZ US",4/4/2020,0,84,57
USW00023183,"PHOENIX AIRPORT, AZ US",4/5/2020,0,86,58
USW00023183,"PHOENIX AIRPORT, AZ US",4/6/2020,0,85,58
USW00023183,"PHOENIX AIRPORT, AZ US",4/7/2020,0,84,56
USW00023183,"PHOENIX AIRPORT, AZ US",4/8/2020,0,83,58
USW00023183,"PHOENIX AIRPORT, AZ US",4/9/2020,0,74,54
USW00023183,"PHOENIX AIRPORT, AZ US",4/10/2020,0,79,53
USW00023183,"PHOENIX AIRPORT, AZ US",4/11/2020,0.08,71,57
USW00023183,"PHOENIX AIRPORT, AZ US",4/12/2020,0,77,52
USW00023183,"PHOENIX AIRPORT, AZ US",4/13/2020,0,78,59
USW00023183,"PHOENIX AIRPORT, AZ US",4/14/2020,0,80,59
USW00023183,"PHOENIX AIRPORT, AZ US",4/15/2020,0,83,55
USW00023183,"PHOENIX AIRPORT, AZ US",4/16/2020,0,86,56
USW00023183,"PHOENIX AIRPORT, AZ US",4/17/2020,0,89,58
USW00023183,"PHOENIX AIRPORT, AZ US",4/18/2020,0,80,58
USW00023183,"PHOENIX AIRPORT, AZ US",4/19/2020,0,83,59
USW00023183,"PHOENIX AIRPORT, AZ US",4/20/2020,0,87,62
USW00023183,"PHOENIX AIRPORT, AZ US",4/21/2020,0,83,63
USW00023183,"PHOENIX AIRPORT, AZ US",4/22/2020,0,91,61
USW00023183,"PHOENIX AIRPORT, AZ US",4/23/2020,0,97,65
USW00023183,"PHOENIX AIRPORT, AZ US",4/24/2020,0,98,69
USW00023183,"PHOENIX AIRPORT, AZ US",4/25/2020,0,99,70
USW00023183,"PHOENIX AIRPORT, AZ US",4/26/2020,0,102,71
USW00023183,"PHOENIX AIRPORT, AZ US",4/27/2020,0,102,73
USW00023183,"PHOENIX AIRPORT, AZ US",4/28/2020,0,101,69
USW00023183,"PHOENIX AIRPORT, AZ US",4/29/2020,0,104,73
USW00023183,"PHOENIX AIRPORT, AZ US",4/30/2020,0,101,75
USW00023183,"PHOENIX AIRPORT, AZ US",5/1/2020,0,101,69
USW00023183,"PHOENIX AIRPORT, AZ US",5/2/2020,0,99,71
USW00023183,"PHOENIX AIRPORT, AZ US",5/3/2020,0,97,70
USW00023183,"PHOENIX AIRPORT, AZ US",5/4/2020,0,99,69
USW00023183,"PHOENIX AIRPORT, AZ US",5/5/2020,0,103,71
USW00023183,"PHOENIX AIRPORT, AZ US",5/6/2020,0,106,74
USW00023183,"PHOENIX AIRPORT, AZ US",5/7/2020,0,106,72
USW00023183,"PHOENIX AIRPORT, AZ US",5/8/2020,0,104,74
USW00023183,"PHOENIX AIRPORT, AZ US",5/9/2020,0,101,77
USW00023183,"PHOENIX AIRPORT, AZ US",5/10/2020,0,100,81
USW00023183,"PHOENIX AIRPORT, AZ US",5/11/2020,0,100,76
USW00023183,"PHOENIX AIRPORT, AZ US",5/12/2020,0,96,73
USW00023183,"PHOENIX AIRPORT, AZ US",5/13/2020,0,91,70
USW00023183,"PHOENIX AIRPORT, AZ US",5/14/2020,0,91,69
